into	Latency	7.65	0.19
bound	Latency	12.74	0.0
pushad	Latency	15.62	0.0
aam_throughput	Latency	8.42	0.0
enter 4, 1	Latency	50.72	0.24
aam_latency	Latency	29.6	0.0
enter 4, 4	Latency	68.59	0.0
enter 4, 0	Latency	20.0	0.0
daa	Latency	23.37	0.0
enter 4, 2	Latency	63.99	0.0
enter 4, 3	Latency	69.15	0.0
das	Latency	25.5	0.0
aad	Latency	18.63	0.0
sahf	Latency	1.16	0.0
aaa	Latency	38.16	0.0
lahf_sahf	Latency	1.17	0.0
salc	Latency	5.88	0.0
leave	Latency	4.82	0.0
salc_inc_al	Latency	5.43	0.0
popad	Latency	12.22	0.02
aas	Latency	35.22	0.0
lahf	Latency	0.98	0.0
Case 1: Consecutive single loops	Latency	6.15	nan
Case 5: Loop with one branch having simple repetitive pattern of period count2 inside	Latency	0.74	0.15
Case 8: Loop with alternating indirect branch inside	Latency	1.18	0.23
Case 6: Loop with one branch having complex repetitive pattern of period count2 inside	Latency	1.92	0.2
Case 4: Loop with 2 alternating branches inside	Latency	3.68	2.86
Case 2: Nested loops	Latency	7.33	3.3
Case 3: Loop with 1 alternating branch inside	Latency	4.52	4.15
Case 7: Loop with one 0011 branch and one 00011 branch inside	Latency	0.75	0.28
Case 9: Loop with 3-way indirect branch inside	Latency	1.88	0.47
Case 1: Consecutive single loops	Latency	4.45	nan
Case 11: One loop with multiple branches inside	Latency	0.28	0.13
Case 8: Loop with alternating indirect branch inside	Latency	1.37	0.23
Case 6: Loop with one branch having complex repetitive pattern of period count2 inside	Latency	0.73	0.19
Case 4: Loop with 2 alternating branches inside	Latency	3.67	1.71
Case 2: Nested loops	Latency	7.35	3.33
Case 3: Loop with 1 alternating branch inside	Latency	4.24	3.41
Case 7: Loop with one 0011 branch and one 00011 branch inside	Latency	0.8	2.38
Case 10: One loop with multiple loops inside	Latency	-2.01	2.09
Case 9: Loop with 3-way indirect branch inside	Latency	1.77	0.37
Case 5: Loop with one branch having simple repetitive pattern of period count2 inside	Latency	1.9	0.21
stride1 = 4096, stride2 = 64	Latency	1.89	0.01
stride1 = 512, stride2 = 32	Latency	1.81	0.0
stride1 = 4096, stride2 = 512	Latency	1.81	0.0
stride1 = 256, stride2 = 32	Latency	1.96	0.0
stride1 = 2048, stride2 = 0	Latency	1.22	0.19
stride1 = 1024, stride2 = 8	Latency	0.99	0.0
stride1 = 2048, stride2 = 8	Latency	1.1	0.11
stride1 = 1024, stride2 = 0	Latency	0.99	0.0
stride1 = 4096, stride2 = 0	Latency	8.94	0.16
stride1 = 16384, stride2 = 0	Latency	9.7	0.22
stride1 = 128, stride2 = 64	Latency	1.81	0.0
stride1 = 4096, stride2 = 8	Latency	1.22	0.19
stride1 = 256, stride2 = 64	Latency	1.88	0.01
stride1 = 2048, stride2 = 32	Latency	1.96	0.0
stride1 = 1024, stride2 = 128	Latency	1.96	0.0
stride1 = 2048, stride2 = 1024	Latency	1.96	0.0
stride1 = 1024, stride2 = 64	Latency	1.88	0.01
stride1 = 2048, stride2 = 64	Latency	1.89	0.01
stride1 = 16384, stride2 = 8	Latency	1.13	0.17
stride1 = 4096, stride2 = 32	Latency	1.81	0.0
stride1 = 2048, stride2 = 512	Latency	1.89	0.01
stride1 = 1024, stride2 = 512	Latency	1.81	0.0
stride1 = 2048, stride2 = 256	Latency	1.88	0.01
stride1 = 2048, stride2 = 128	Latency	1.88	0.01
stride1 = 4096, stride2 = 128	Latency	1.96	0.0
stride1 = 512, stride2 = 64	Latency	1.96	0.0
stride1 = 256, stride2 = 128	Latency	1.81	0.0
stride1 = 64, stride2 = 32	Latency	1.88	0.01
stride1 = 1024, stride2 = 32	Latency	1.81	0.0
stride1 = 8192, stride2 = 0	Latency	8.96	0.19
stride1 = 1024, stride2 = 256	Latency	1.81	0.0
stride1 = 4096, stride2 = 1024	Latency	1.88	0.01
stride1 = 128, stride2 = 32	Latency	1.95	0.0
stride1 = 512, stride2 = 256	Latency	1.96	0.0
stride1 = 8192, stride2 = 8	Latency	1.21	0.18
stride1 = 512, stride2 = 128	Latency	1.88	0.01
stride1 = 4096, stride2 = 256	Latency	1.89	0.01
cvtpi2ps xmm, mmx / cvtps2pi mmx, xmm / POR mmx,mmx	Latency	4.31	0.0
cvtsi2sd xmm, r64 / cvtsd2si r64, xmm	Latency	12.87	0.0
movd xmm,m32	Throughput	1.32	0.0
movq xmm,r64	Throughput	1.0	0.0
cvtsi2ss xmm,r32	Throughput	5.96	0.0
movntpd m128, xmm / movaps xmm, m128	Latency	126.36	5.43
mov r8, m8	Throughput	1.19	0.0
movdqa m128, xmm	Throughput	1.8	0.0
movq2dq xmm, mmx	Throughput	1.07	0.0
cvtsd2si r64, xmm / cvtsi2sd xmm, r64 / MAXPD xmm,xmm	Latency	7.32	0.01
pextrb m8,xmm,1	Throughput	1.72	0.0
cvtsd2ss xmm,xmm	Latency	14.85	0.0
movlps m64,xmm	Throughput	1.66	0.0
movups m128,xmm	Throughput	1.66	0.0
movd xmm, m32 / movd m32, xmm	Latency	2.15	0.0
movntdqa xmm, m / movdqa m, xmm	Latency	2.15	0.0
cvtpd2ps xmm,[m128]	Throughput	1.42	0.0
mov r8h, m8	Throughput	1.29	0.0
cvtss2si r64, xmm	Throughput	0.99	0.0
cvtps2pi mmx, xmm	Throughput	1.07	0.0
cvtdq2ps xmm,xmm	Latency	14.85	0.0
movd mmx, r32 / movd r32, mmx	Latency	3.75	0.0
mov m32,r32	Throughput	1.8	0.0
mov m64,r64	Throughput	1.66	0.0
pextrq r64, xmm,1 / movq xmm, r64	Latency	3.47	0.0
mov r8h,r8	Throughput	0.97	0.0
cvtsi2sd xmm,r64	Throughput	1.98	0.0
mov r8h,r8h	Latency	0.99	0.0
movhps m64,xmm	Throughput	1.55	0.0
movntdqa xmm,m	Throughput	1.32	0.0
movsd m64, xmm / movsd xmm, m64	Latency	2.22	0.04
movntps m128,xmm	Throughput	1.67	0.0
mov m16,r16	Throughput	1.66	0.0
cvtps2pi mmx, xmm / cvtpi2ps xmm, mmx / POR xmm,xmm	Latency	3.97	0.0
cvtpd2dq xmm,[m128]	Throughput	1.42	0.0
cvtpi2pd xmm, mmx / cvtpd2pi mmx, xmm / POR mmx,mmx	Latency	4.65	0.0
cvtpi2pd xmm,[m]	Throughput	1.34	0.0
pextrw r32,xmm,1	Throughput	1.08	0.0
cvtsi2ss xmm,[m32]	Throughput	6.41	0.17
cvtsd2si r32, xmm	Throughput	0.99	0.0
cvtss2sd xmm, xmm	Latency	16.09	0.0
movq r64, xmm	Throughput	1.08	0.0
mov m16, r16 / mov r16, m16	Latency	2.48	0.0
cvtsd2si r64,[m64]	Throughput	1.24	0.0
mov m8, r8h / mov r8h, m8	Latency	15.02	0.0
movlpd xmm, m	Throughput	1.42	0.0
cvtpi2ps xmm,[m]	Throughput	1.34	0.0
movd xmm, r32	Throughput	1.08	0.0
pinsrq xmm,r64,1	Throughput	1.0	0.0
movdqa m128, xmm / movdqa xmm, m128	Latency	2.04	0.03
movq mmx, r64 / movq r64, mmx	Latency	3.75	0.0
movsd xmm,xmm	Latency	1.16	0.0
cvtdq2ps xmm, xmm / cvtps2dq xmm, xmm	Latency	2.68	0.0
cvtpi2pd xmm, mmx / cvtpd2pi mmx, xmm	Latency	4.68	0.0
movapd m128, xmm / movapd xmm, m128	Latency	2.15	0.0
movss xmm, xmm	Latency	1.22	0.03
pextrw r32,mmx,1	Throughput	0.99	0.0
cvtpd2dq xmm, xmm	Latency	5.96	0.0
movlhps xmm,xmm	Latency	1.16	0.0
movapd xmm, m128	Throughput	1.43	0.0
cvtps2pi mmx,[m]	Throughput	1.24	0.0
pinsrw xmm,r32,1	Throughput	1.08	0.0
pinsrw xmm, r32,1 / movd r32, xmm	Latency	4.29	0.0
cvtsd2si r64, xmm / cvtsi2sd xmm, r64 / POR xmm,xmm	Latency	8.25	0.0
cvtsd2ss xmm, xmm / cvtss2sd xmm, xmm / MAXPD xmm,xmm	Latency	1.99	0.0
mov m8, r8 / mov r8, m8	Latency	2.68	0.0
movdqu xmm, m128	Throughput	1.32	0.0
cvtpi2ps xmm, mmx / cvtps2pi mmx, xmm	Latency	4.83	0.0
movq xmm, m64	Throughput	1.43	0.0
pinsrb xmm,r32,1	Throughput	1.0	0.0
cvtsi2sd xmm, r64 / cvtsd2si r64, xmm / OR r64,r64	Latency	8.28	0.0
cvtsi2sd xmm,r32	Throughput	6.46	0.0
movdqa xmm, xmm / movdqa xmm, xmm / POR xmm,xmm	Latency	1.0	0.0
movd m32, xmm	Throughput	1.66	0.0
