pcmpistrm xmm,[mem],0	miss	57.88
rep movsd, count = 1000	156.99	miss
rep stosb, count = 10000	380.71	miss
pcmpestrm xmm0,xmm0,3	71.38	miss
pcmpestrm xmm0,xmm0,0	102.89	miss
pcmpestrm xmm0,xmm0,0xC	171.84	miss
pcmpestrm xmm0,xmm0,4	137.01	miss
repe cmpsb, count = 1000, misalign = 0	749.82	miss
pcmpestrm xmm0,xmm0,8	38.54	miss
repe cmpsb, count = 1000, misalign = 4	749.81	miss
repe scasb, count = 1000, misalign = 0	590.5	miss
rep stosd, count = 1000, misalign = 4	185.71	miss
rep lodsd, count = 10000	10386.44	miss
rep stosd, count = 1000, misalign = 0	168.44	miss
scasw	1.44	miss
rep stosb, count = 100	56.94	miss
scasq	1.61	miss
rep lodsb, count = 1000	997.08	miss
rep movsq, count = 10000	4158.03	miss
pcmpistri xmm1,xmm1,4 / movd xmm1,ecx	36.65	miss
scasd	2.3	miss
rep stosw, count = 10000	728.43	miss
scasb	1.35	miss
rep movsb, count = 1000	63.96	miss
repe scasq, count = 1000, misalign = 4	1065.92	miss
repe cmpsd, count = 1000, misalign = 0	750.21	miss
repe scasq, count = 1000, misalign = 0	564.45	miss
rep movsd, count = 1000, misalign = 16	181.1	miss
rep lodsb, count = 100	105.98	miss
rep stosw, count = 1000	119.98	miss
pcmpistri xmm1,xmm1,0 / movd xmm1,ecx	31.21	miss
repe scasb, count = 100, misalign = 0	62.92	miss
pcmpestri xmm1,xmm1,4 / movd xmm1,ecx	69.63	miss
repe scasd, count = 1000, misalign = 0	564.36	miss
rep stosb, count = 1000	60.43	miss
repe cmpsd, count = 1000, misalign = 4	750.05	miss
repe scasb, count = 1000, misalign = 4	564.18	miss
repe cmpsq, count = 10000, misalign = 4	16744.41	miss
pcmpistrm xmm0,xmm0,4	72.56	miss
pcmpistrm xmm0,xmm0,3	58.77	miss
pcmpistrm xmm0,xmm0,0	61.33	miss
pcmpestri xmm,[mem],0	miss	92.5
rep stosd, count = 100, misalign = 16	56.95	miss
pcmpistri xmm1,xmm1,8 / movd xmm1,ecx	18.84	miss
repe scasd, count = 10000, misalign = 4	6343.12	miss
rep stosd, count = 10000, misalign = 16	1877.86	miss
repe scasd, count = 10000, misalign = 0	6172.66	miss
rep movsd, count = 1000, misalign = 0	178.56	miss
rep movsd, count = 1000, misalign = 4	184.35	miss
repe cmpsw, count = 100, misalign = 0	108.4	miss
pcmpestri xmm,xmm,0	miss	93.04
repe cmpsw, count = 100, misalign = 4	108.24	miss
repe cmpsb, count = 10000, misalign = 4	7592.05	miss
repe cmpsb, count = 10000, misalign = 0	7915.94	miss
pcmpistrm xmm0,xmm0,8	37.84	miss
repe scasw, count = 10000, misalign = 4	5710.85	miss
repe scasw, count = 10000, misalign = 0	5888.68	miss
rep stosq, count = 100	56.95	miss
rep movsq, count = 100, misalign = 4	151.31	miss
pcmpestri xmm1,xmm1,0 / movd xmm1,ecx	51.43	miss
rep movsd, count = 10000	2320.87	miss
pcmpistrm xmm,xmm,0	miss	57.87
rep movsq, count = 100, misalign = 0	57.31	miss
rep movsq, count = 1000	314.96	miss
rep movsd, count = 100, misalign = 16	57.33	miss
pcmpistri xmm,[mem],0	miss	57.46
rep movsq, count = 1000, misalign = 4	1571.47	miss
rep movsd, count = 10000, misalign = 4	2071.97	miss
rep stosd, count = 1000, misalign = 16	171.21	miss
rep movsd, count = 10000, misalign = 0	2091.77	miss
repe scasd, count = 100, misalign = 0	62.96	miss
repe cmpsb, count = 100, misalign = 4	108.33	miss
rep stosq, count = 100, misalign = 16	56.96	miss
repe cmpsb, count = 100, misalign = 0	81.49	miss
movsd	2.51	miss
movsb	2.01	miss
rep movsb, count = 10000	396.15	miss
repe cmpsw, count = 1000, misalign = 4	749.97	miss
rep stosq, count = 100, misalign = 4	155.46	miss
repe cmpsw, count = 1000, misalign = 0	750.05	miss
rep stosq, count = 100, misalign = 0	56.96	miss
movsw	2.14	miss
rep stosq, count = 1000, misalign = 16	302.2	miss
repe cmpsw, count = 10000, misalign = 0	7932.06	miss
movsq	2.81	miss
rep movsq, count = 10000, misalign = 4	16234.77	miss
rep movsq, count = 10000, misalign = 0	4576.54	miss
repe scasq, count = 100, misalign = 0	62.95	miss
rep lodsw, count = 10000	10104.27	miss
repe scasq, count = 100, misalign = 4	107.73	miss
rep lodsq, count = 100	105.99	miss
rep lodsd, count = 100	105.99	miss
repe scasd, count = 100, misalign = 4	62.96	miss
rep movsb, count = 100	57.23	miss
rep stosq, count = 10000	3905.52	miss
rep movsq, count = 1000, misalign = 16	315.81	miss
rep stosq, count = 10000, misalign = 4	16534.81	miss
rep movsw, count = 10000	712.65	miss
rep stosq, count = 10000, misalign = 0	4133.83	miss
rep stosd, count = 10000, misalign = 0	1865.93	miss
rep stosd, count = 10000, misalign = 4	2243.85	miss
rep stosd, count = 100, misalign = 0	56.95	miss
rep stosw, count = 100	69.53	miss
pcmpestri xmm1,xmm1,0xC / movd xmm1,ecx	80.08	miss
